0,7.84,5.81,4.68,111.56203967999998,254.1989645984392,132.32391199999998,1.1,1
1,7.28,7.23,5.59,153.97842824000003,315.74755738932436,190.27335600000004,1.1,1
6,8.97,7.55,6.48,229.6639332,460.8340669806113,255.6562125,1.1,1
7,9.41,8.17,6.67,268.35884347666666,557.3820834380301,314.05357449999997,1.1,1
8,9.64,7.32,7.38,272.53537056,490.1371905464816,258.267168,1.1,1
9,8.47,7.96,6.2,218.75932026666666,457.751948626097,268.33637600000003,1.1,1
12,9.71,8.93,8.31,377.09442367,667.6387230784501,387.1614895,1.1,1
13,12.81,11.36,8.91,678.55266864,1451.5322063391163,826.562688,1.1,1
14,13.55,10.42,8.02,592.5974524666666,1387.2221221060158,735.60511,1.1,1
15,12.36,9.57,7.07,437.65129716,1063.7292401480029,565.994682,1.1,1
16,13.6,10.35,7.69,566.479236,1380.8750154915108,728.4329999999999,1.1,1
19,11.89,10.4,6.69,432.93202160000004,1136.9942686879172,643.0112000000001,1.1,1
20,13.49,10.31,7.6,553.1750769333335,1356.2551711402184,716.9671945000001,1.1,1
21,13.25,11.4,10.07,796.0284650000001,1535.0289802426798,860.985,1.1,1
22,13.83,11.18,7.18,580.9875494799999,1589.759614342493,864.3224459999999,1.1,1
26,14.22,11.31,5.62,473.01717996,1686.470646695903,909.4834710000001,1.1,1
27,15.5,12.19,12.06,1192.507473,2147.5267902299115,1151.619775,1.1,1
28,14.45,11.08,9.02,755.7750361333333,1675.1237490287722,886.98724,1.1,1
29,15.39,12.0,11.62,1123.063704,2075.225443409096,1108.08,1.1,1
30,16.66,13.42,12.43,1454.3771385733335,2764.2464085002657,1500.203012,1.1,1
33,18.53,13.87,11.24,1511.8078264933333,3406.930743228472,1782.3719784999998,1.1,1
34,15.91,13.03,13.23,1435.33355301,2468.069457741878,1350.6070594999999,1.1,1
35,16.6,12.6,12.09,1323.3762360000003,2501.2288790662747,1317.708,1.1,1
36,17.73,12.41,11.91,1371.42062397,2698.710260809977,1365.2818065000001,1.1,1
37,17.49,14.25,15.5,2021.6909624999998,3253.437703924381,1775.7815624999998,1.1,1
